LEAID,NAME,CITY,STATE,MEMBER_alt,revised,hasReassignedSchools,altRatio_99,altRatio,altRatio_growth,pupMONEY_reg,pupMONEY_alt,pdiff_pupMONEY,hasCounc_reg,hasCounc_alt,pdiff_hasCounc,puptch_reg,puptch_alt,pdiff_puptch,TEACH_FYSY_RATIO_reg,TEACH_FYSY_RATIO_alt,pdiff_TEACH_FYSY_RATIO,TEACH_ABSENT_RATIO_reg,TEACH_ABSENT_RATIO_alt,pdiff_TEACH_ABSENT_RATIO,gradRate_reg,gradRate_alt,ppdiff_gradRate
0100390,BIRMINGHAM CITY,BIRMINGHAM,AL,20,FALSE,FALSE,0.00535734010825141,0.00207856994387861,-0.0032787701643728,6775.98016971862,13716.9365,1.02434720238705,0.928571428571429,1,0.0769230769230769,19.2069126559365,,,0.103709465340667,0,-1,0.0685223253143693,0.4,4.83751351351351,79.6599397590362,,
0101380,ETOWAH COUNTY,GADSDEN,AL,173,FALSE,FALSE,0,0.0360341595500937,0.0360341595500937,4439.30822340425,87250.5418857143,18.6540851625767,1,1,0,16.4671550558026,57.6666666666667,2.5019204271321,0.0587199060481503,0,-1,0.407369348209043,0,-1,87.8828522920204,17,-70.8828522920204
0101620,GADSDEN CITY,GADSDEN,AL,9,FALSE,FALSE,0.0109765329295988,0.0032703488372093,-0.00770618409238949,5946.15275212412,,,1,,,16.9749403507611,,,0.159056728629008,,,0.511339710040306,,,73,,
0102310,MARION COUNTY,HAMILTON,AL,4,FALSE,FALSE,0.0026697177726926,0.00211864406779661,-0.000551073704895991,11196.1773812038,32284.4725,1.88352635018085,1,0,-1,16.4328345017788,2,-0.878292451628871,0.0402131295868101,0,-1,0.150799235950538,0,-1,77,,
0102370,MOBILE COUNTY,MOBILE,AL,205,FALSE,FALSE,0.00553855569155447,0.00681606596621891,0.00127751027466444,4006.03107827503,29838.8681081081,6.44848642586081,1,1,0,19.518557736337,2.26666666666667,-0.883871201075124,0.125812167749557,0.117647058823529,-0.0648991991162663,0.180153573538098,0.235294117647059,0.306075216972035,83.2751611303917,,
0102430,MONTGOMERY COUNTY,MONTGOMERY,AL,129,FALSE,FALSE,0.0273663234805712,0.00826340400999295,-0.0191029194705783,3309.77403720199,12095.6136363636,2.65451342007293,0.894736842105263,0.5,-0.441176470588235,20.1245436958347,7.72832980972516,-0.615974904746549,0.120092378752887,0.272727272727273,1.27097902097902,0.382217090069284,0.0454545454545455,-0.881076627300192,77.5975308641975,,
0200001,LOWER KUSKOKWIM SCHOOL DISTRICT,BETHEL,AK,78,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200100,DELTA-GREELY SCHOOL DISTRICT,DELTA JUNCTION,AK,12,FALSE,FALSE,0.0941558441558442,0.0205479452054795,-0.0736078989503647,29524.5786426117,6957.396875,-0.764352373687777,0.333333333333333,0,-1,33.0735653825361,12,-0.637172471089664,0.197183098591549,0,-1,0.140845070422535,1,6.1,,,
0200150,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,KETCHIKAN,AK,121,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200180,ANCHORAGE SCHOOL DISTRICT,ANCHORAGE,AK,565,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200210,JUNEAU BOROUGH SCHOOL DISTRICT,JUNEAU,AK,141,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200240,SITKA SCHOOL DISTRICT,SITKA,AK,25,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,SOLDOTNA,AK,110,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200510,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,PALMER,AK,433,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,FAIRBANKS,AK,129,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,
0200610,NORTH SLOPE BOROUGH SCHOOL DISTRICT,BARROW,AK,44,FALSE,FALSE,0,0.0331825037707391,0.0331825037707391,15632.8905279503,14026.0434782609,-0.102786304734657,1,1,0,10.9609905088844,12.5714285714286,0.146924501142375,0.491935483870968,0.888888888888889,0.806921675774135,0.290322580645161,0.444444444444444,0.530864197530864,,,
0400026,HEBER-OVERGAARD UNIFIED DISTRICT,HEBER,AZ,109,FALSE,FALSE,0.299019607843137,0.351612903225806,0.0525932953826692,3199.46534653465,1177.07476635514,-0.632102667519112,0.5,0,-1,13.8050694489706,13.9386189258312,0.00967394458639126,0.133333333333333,0,-1,0,0.142857142857143,,,,
0401600,CAMP VERDE UNIFIED DISTRICT,CAMP VERDE,AZ,16,FALSE,TRUE,0,0.0184544405997693,0.0184544405997693,3812.67850763807,,,0.5,,,18.8467794404684,16,-0.151048588935876,0.139720558882236,,,0.31936127744511,,,92,,
0401870,CHANDLER UNIFIED DISTRICT #80,CHANDLER,AZ,196,FALSE,TRUE,0,0.00942262391231191,0.00942262391231191,2831.39699464981,4678.79788461539,0.652469750252762,0.866666666666667,1,0.153846153846154,20.7098129513019,14.8484848484848,-0.283021778931547,0.0637884810945734,0,-1,0.166571138023482,0.0625,-0.624784937284937,95.3785230110596,2.5,-92.8785230110596
0403420,GLENDALE ELEMENTARY DISTRICT,GLENDALE,AZ,682,FALSE,TRUE,0.394658753709199,0.401885680612846,0.00722692690364735,2011.67665680473,2469.86485337243,0.227764335296045,1,1,0,22.3568281938326,19.4857142857143,-0.128422237860662,0.280898876404494,0.114285714285714,-0.593142857142857,0.134831460674157,0.285714285714286,1.11904761904762,,,
0403450,GLENDALE UNION HIGH SCHOOL DISTRICT,GLENDALE,AZ,76,FALSE,FALSE,0.00659437280187573,0.00500856728614736,-0.00158580551572838,1214.79820185539,2226.2427027027,0.832602895939851,1,0,-1,22.211084133187,4.87179487179487,-0.780659294135237,0.0519662921348315,0,-1,0.178651685393258,0,-1,89.491847826087,,
0403860,MARICOPA COUNTY REGIONAL DISTRICT,PHOENIX,AZ,170,FALSE,FALSE,0.637609649122807,0.376106194690265,-0.261503454432542,6089.1661516035,4096.77194444445,-0.327203127251567,0,0,,13.558707643814,13.3193277310924,-0.0176550685367721,0.411764705882353,0,-1,0.705882352941177,0.333333333333333,-0.527777777777778,2.5,,
0405670,OSBORN ELEMENTARY DISTRICT,PHOENIX,AZ,558,FALSE,TRUE,0.612730061349693,0.587987355110643,-0.0247427062390504,7430.74386189258,2431.10023809524,-0.67283218433046,0,1,,,17.7820267686425,,0.381443298969072,0.332409972299169,-0.128546829377854,0,0.166204986149584,,,,
0405930,PARADISE VALLEY UNIFIED DISTRICT,PHOENIX,AZ,7,FALSE,TRUE,0,0.000369744348193535,0.000369744348193535,3727.02894243781,39912.0390909091,9.70880846575962,0.68,0,-1,22.113150566512,3.5,-0.841723141644937,0.10018397420718,0,-1,0.336873167088654,0,-1,84.1194486983155,,
0405980,PARKER UNIFIED SCHOOL DISTRICT,PARKER,AZ,22,FALSE,FALSE,0,0.0265060240963855,0.0265060240963855,3520.77351916376,9714.28571428571,1.75913394071227,0.5,0,-1,17.6231146948366,,,0.123152709359606,0,-1,0.374384236453202,0,-1,82,,
0406250,PEORIA UNIFIED SCHOOL DISTRICT,GLENDALE,AZ,92,FALSE,TRUE,0,0.00639377302105775,0.00639377302105775,3491.98367108121,6191.73720930233,0.773128912537324,0.714285714285714,1,0.4,22.5999473525767,15.3333333333333,-0.321532342791714,0.0379588767010543,0.25,5.58607476635514,0.12158192731762,0.125,0.0281133286647992,85.4774480712166,,
0406330,PHOENIX UNION HIGH SCHOOL DISTRICT,PHOENIX,AZ,213,FALSE,FALSE,0.0166620638865875,0.00804319915414244,-0.00861886473244506,3417.57451768815,8246.98455813954,1.41311038441329,1,1,0,21.2221618431798,8.52,-0.59853288920525,0.02734375,0.0357142857142857,0.306122448979592,0.297421875,0.5,0.681113737851327,76.6989287727871,32,-44.6989287727871
0406960,SAN CARLOS UNIFIED DISTRICT,SAN CARLOS,AZ,54,FALSE,FALSE,0,0.0989010989010989,0.0989010989010989,4077.63911290323,2964.98181818182,-0.272868016004783,1,0,-1,14.4705882352941,27,0.865853658536585,0.142857142857143,0,-1,0.742857142857143,0,-1,82,,
0408680,TUBA CITY UNIFIED DISTRICT,TUBA CITY,AZ,35,FALSE,FALSE,0,0.0297619047619048,0.0297619047619048,4027.53785900783,5740.02941176471,0.425195643767018,1,1,0,14.1209382432006,14,-0.00856446229830732,0,0,,0.123287671232877,0,-1,72,,
0408800,TUCSON UNIFIED DISTRICT,TUCSON,AZ,526,FALSE,TRUE,0.0180207188301522,0.0176771071380562,-0.000343611692096037,3568.01417755972,5392.55084714549,0.511359142309695,0.607843137254902,0.6,-0.0129032258064516,20.5537114801525,8.81036155202822,-0.571349361377585,0.195775166549496,0.207459207459207,0.0596809141610784,0.0751230290248067,0.13986013986014,0.861747877790658,70.3821721311476,43.0869565217391,-27.2952156094084
0409060,WASHINGTON ELEMENTARY SCHOOL DISTRICT,GLENDALE,AZ,217,FALSE,TRUE,0,0.028749337572867,0.028749337572867,3593.52611157718,6013.0776635514,0.673308465515029,0.352941176470588,1,1.83333333333333,18.7701160095077,,,0.160599031867689,0.166666666666667,0.0377812663526948,0.121016538926987,0,-1,31.4630541871921,,
0409630,YUMA UNION HIGH SCHOOL DISTRICT,YUMA,AZ,202,FALSE,FALSE,0.0477987421383648,0.018838011750443,-0.0289607303879218,4294.46079323922,7414.75854054054,0.726586618793589,1,1,0,26.34087750995,11.8823529411765,-0.54890064172357,0.207973102785783,0.105263157894737,-0.493861674972651,0.346781940441883,0.315789473684211,-0.0893716285172767,84.2192013593883,32,-52.2192013593883
0502880,BEEBE SCHOOL DISTRICT,BEEBE,AR,28,FALSE,FALSE,0,0.0147991543340381,0.0147991543340381,4761.42499464668,6715.16666666667,0.410327092040008,1,1,0,14.5400771297982,5.44747081712062,-0.625347873433445,0.0661764705882353,0,-1,0.448529411764706,0.5,0.114754098360656,87,,
0503750,CABOT SCHOOL DISTRICT,CABOT,AR,186,FALSE,FALSE,0,0.0294957183634634,0.0294957183634634,5024.05987283991,6452.52873417722,0.284325604688674,1,1,0,16.8526834201664,14.8443735035914,-0.119168554140868,0.171927468099396,1,4.81640625,0.0490261920752183,0.0798084596967279,0.627873924499011,92,62,-30
0506330,FORT SMITH SCHOOL DISTRICT,FORT SMITH,AR,49,FALSE,FALSE,0,0.00757458648941104,0.00757458648941104,5927.68780332453,17841.8387272727,2.00991538678305,1,1,0,14.6861844865618,4.01639344262295,-0.726518930339051,0.0723872128966624,0.214285714285714,1.96027027027027,0.326720663614665,0.571428571428571,0.748982035928144,86.6567164179105,,
0507890,HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS,AR,137,FALSE,FALSE,0,0.0670582476749878,0.0670582476749878,6345.27411702689,15033.8,1.36929086478051,1,1,0,12.4274712105035,5.49538708383474,-0.557803273831757,0.129411764705882,0,-1,0.552941176470588,0.5,-0.0957446808510639,77,,
0509000,LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK,AR,374,FALSE,TRUE,0.00499009900990099,0.0270583128346115,0.0220682138247105,16100.3871934445,36263.098968254,1.25231222905117,0.842105263157895,1,0.1875,16.0295763297167,8.97329775489154,-0.440203685342811,0.130606209955643,0.043582704186685,-0.666304502661193,0.48989650073928,0.583390528483185,0.190844448986299,78.1791620727674,,
0512660,SPRINGDALE SCHOOL DISTRICT,SPRINGDALE,AR,294,FALSE,FALSE,0,0.0281798140515671,0.0281798140515671,5422.45743630755,,,1,,,14.8479823342009,8.69822485207101,-0.414181357689559,0.160060286360211,,,0.330067822155237,,,91.7078651685393,32,-59.7078651685393
0600013,ROCKLIN UNIFIED,ROCKLIN,CA,98,FALSE,TRUE,0.0383471074380165,0.015269554378311,-0.0230775530597055,3669.643376561,6239.15721153846,0.700208050566886,1,1,0,22.9419703285263,14.9162861491629,-0.349825410129845,0.214509520366353,1,3.66179775280899,0.0562384510323773,0.166666666666667,1.96357142857143,96.9929245283019,,
0600014,HESPERIA UNIFIED,HESPERIA,CA,726,FALSE,FALSE,0.0713875323182993,0.0611832125400303,-0.010204319778269,5088.63059560814,9442.36124031008,0.855580015664631,0.75,0.75,0,24.5655839978776,20.1143787582571,-0.181196801183521,0.192448233861145,0.222222222222222,0.154711673699015,0.365359317904994,0.305555555555556,-0.16368478760131,95.0716570697377,52.6315789473684,-42.4400781223693
0600015,LUCERNE VALLEY UNIFIED,LUCERNE VALLEY,CA,33,FALSE,FALSE,0.0396039603960396,0.0136872666943177,-0.0259166937017219,5513.98815463477,6349.42470588235,0.151512213631681,0,0,,24.7011639048749,19.9090909090909,-0.194001910769808,0.235849056603774,0,-1,0.00982704402515723,0,-1,,,
0600016,UPLAND UNIFIED,UPLAND,CA,230,FALSE,FALSE,0.113020489094514,0.0409763050062355,-0.0720441840882787,3926.59388951101,5728.16227074236,0.458811996331941,1,1,0,25.1707564498922,19.7764402407567,-0.214308863536703,0.0323027226580526,0,-1,0.313797877249654,0.0769230769230769,-0.754864253393665,98,,
0600017,APPLE VALLEY UNIFIED,APPLE VALLEY,CA,436,FALSE,FALSE,0.0984858818715046,0.0773598296664301,-0.0211260522050745,6432.65002106069,6623.87739819005,0.029727620265873,1,0.5,-0.5,24.3307825506376,25.5209176979067,0.048914791161862,0.0505738183232834,0,-1,0.252869091616417,0.533333333333333,1.10912820512821,88.00442043222,2.5,-85.50442043222
0600018,MOUNTAIN VALLEY UNIFIED,HAYFORK,CA,9,FALSE,FALSE,0.0909090909090909,0.0825688073394496,-0.00834028356964137,6339.28155339806,9911.91615384615,0.563570898429815,0,0,,11.2612612612613,6.11746758199848,-0.456768878718536,0,0,,0,0,,,,
0600019,DUBLIN UNIFIED,DUBLIN,CA,79,FALSE,FALSE,0.0451272203552568,0.0206481965499216,-0.0244790238053353,4651.37924803592,10979.217125,1.36042183179023,1,1,0,24.3632937856026,10.1282051282051,-0.584284242626078,0.224806201550388,0.2,-0.110344827586207,0.170542635658915,0.3,0.759090909090909,97,,
