Entity,Code,Year,Accumulated ocean plastic: Microplastics (<0.5cm)
Emissions growth to 2050,,1950,0
Emissions growth to 2050,,1951,0
Emissions growth to 2050,,1952,0
Emissions growth to 2050,,1953,0
Emissions growth to 2050,,1954,100
Emissions growth to 2050,,1955,100
Emissions growth to 2050,,1956,200
Emissions growth to 2050,,1957,200
Emissions growth to 2050,,1958,300
Emissions growth to 2050,,1959,400
Emissions growth to 2050,,1960,600
Emissions growth to 2050,,1961,700
Emissions growth to 2050,,1962,900
Emissions growth to 2050,,1963,1200
Emissions growth to 2050,,1964,1500
Emissions growth to 2050,,1965,1800
Emissions growth to 2050,,1966,2200
Emissions growth to 2050,,1967,2700
Emissions growth to 2050,,1968,3300
Emissions growth to 2050,,1969,3900
Emissions growth to 2050,,1970,4700
Emissions growth to 2050,,1971,5600
Emissions growth to 2050,,1972,6600
Emissions growth to 2050,,1973,7900
Emissions growth to 2050,,1974,9300
Emissions growth to 2050,,1975,10800
Emissions growth to 2050,,1976,12600
Emissions growth to 2050,,1977,14600
Emissions growth to 2050,,1978,16800
Emissions growth to 2050,,1979,19300
Emissions growth to 2050,,1980,22000
Emissions growth to 2050,,1981,25000
Emissions growth to 2050,,1982,28200
Emissions growth to 2050,,1983,31700
Emissions growth to 2050,,1984,35600
Emissions growth to 2050,,1985,39700
Emissions growth to 2050,,1986,44200
Emissions growth to 2050,,1987,49100
Emissions growth to 2050,,1988,54300
Emissions growth to 2050,,1989,59900
Emissions growth to 2050,,1990,65900
Emissions growth to 2050,,1991,72400
Emissions growth to 2050,,1992,79300
Emissions growth to 2050,,1993,86800
Emissions growth to 2050,,1994,94700
Emissions growth to 2050,,1995,103100
Emissions growth to 2050,,1996,112100
Emissions growth to 2050,,1997,121700
Emissions growth to 2050,,1998,132000
Emissions growth to 2050,,1999,142900
Emissions growth to 2050,,2000,154500
Emissions growth to 2050,,2001,166900
Emissions growth to 2050,,2002,180100
Emissions growth to 2050,,2003,194100
Emissions growth to 2050,,2004,209000
Emissions growth to 2050,,2005,224700
Emissions growth to 2050,,2006,241400
Emissions growth to 2050,,2007,259200
Emissions growth to 2050,,2008,277900
Emissions growth to 2050,,2009,297700
Emissions growth to 2050,,2010,318500
Emissions growth to 2050,,2011,340400
Emissions growth to 2050,,2012,363400
Emissions growth to 2050,,2013,387600
Emissions growth to 2050,,2014,413100
Emissions growth to 2050,,2015,439800
Emissions growth to 2050,,2016,467800
Emissions growth to 2050,,2017,497200
Emissions growth to 2050,,2018,528000
Emissions growth to 2050,,2019,560200
Emissions growth to 2050,,2020,594000
Emissions growth to 2050,,2021,629300
Emissions growth to 2050,,2022,666300
Emissions growth to 2050,,2023,704900
Emissions growth to 2050,,2024,745200
Emissions growth to 2050,,2025,787300
Emissions growth to 2050,,2026,831300
Emissions growth to 2050,,2027,877200
Emissions growth to 2050,,2028,925000
Emissions growth to 2050,,2029,974900
Emissions growth to 2050,,2030,1027000
Emissions growth to 2050,,2031,1081200
Emissions growth to 2050,,2032,1137700
Emissions growth to 2050,,2033,1196600
Emissions growth to 2050,,2034,1257900
Emissions growth to 2050,,2035,1321700
Emissions growth to 2050,,2036,1388200
