"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IRL","Ireland","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",100680.426601856,,
"CHN","China (People's Republic of)","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",18035.1758222319,,
"GRC","Greece","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",27369.7191092195,,
"GBR","United Kingdom","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",43096.4860919538,,
"BEL","Belgium","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",48182.8489872952,,
"NLD","Netherlands","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",53500.943092604,,
"IND","India","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",6646.5216202582,,
"SWE","Sweden","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",50902.6411591228,,
"KOR","Korea","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",42843.2125709933,,
"EST","Estonia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",36228.014999315,,
"IDN","Indonesia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",11913.6721071752,,
"USA","United States","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2010","2010",61224.7515811419,,
"AUS","Australia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",47755.9524039313,,
"NZL","New Zealand","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",39551.821144583,,
"COL","Colombia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",14037.4194732518,,
"ZAF","South Africa","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",12786.5982765853,,
"ARG","Argentina","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",17683.6981135566,,
"FIN","Finland","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",45982.3642445666,,
"LVA","Latvia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",29626.2335033091,,
"LUX","Luxembourg","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",112403.285669795,,
"CAN","Canada","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",44753.5856685951,,
"PRT","Portugal","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",31893.1691103676,,
"ITA","Italy","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",37821.961584516,,
"MEX","Mexico","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",18064.2420873644,,
"HUN","Hungary","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",32413.5421706962,,
"FRA","France","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",42163.1047480492,,
"BRA","Brazil","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",14316.5438020972,,
"CHE","Switzerland","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",68109.6842523431,,
"RUS","Russia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",26135.8919678906,,
"ISR","Israel","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",38839.6650299265,,
"CZE","Czech Republic","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",36911.7274860197,,
"SVK","Slovak Republic","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",32812.1076505886,,
"SVN","Slovenia","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",36484.071305182,,
"AUT","Austria","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",50628.7560683413,,
"NOR","Norway","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",63029.0249528973,,
"CHL","Chile","GDPVD_CAP","Gross domestic product per capita, volume in USD, at constant purchasing power parities","A","Annual","2021","2021","USD","US Dollar","0","Units","2015","2015",23389.2329500922,,
