"LOCATION","Country","VARIABLE","Variable","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,83.0543681681,,
"BEL","Belgium","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,111.7387980966,,
"CZE","Czech Republic","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,43.8251039081,,
"DNK","Denmark","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,39.837992706,,
"FIN","Finland","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,77.3721300139,,
"FRA","France","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,115.1251107744,,
"DEU","Germany","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,72.8416987755,,
"GRC","Greece","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,192.0482794685,,
"HUN","Hungary","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,79.1220163929,,
"IRL","Ireland","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,55.810547844,,
"ITA","Italy","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,154.5749635875,,
"LUX","Luxembourg","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,25.8055407216,,
"NLD","Netherlands","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,57.5998277784,,
"POL","Poland","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,58.2534471095,,
"PRT","Portugal","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,133.3925702892,,
"SVK","Slovak Republic","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,60.4634760493,,
"ESP","Spain","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,120.1157960234,,
"SWE","Sweden","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,36.7665299622,,
"GBR","United Kingdom","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,103.5042840982,,
"EST","Estonia","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,20.768944639,,
"SVN","Slovenia","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,77.746911974,,
"LVA","Latvia","GGFLMQ","Gross public debt, Maastricht criterion as a percentage of GDP","A","Annual","2021","2021","PC","Percentage","0","Units",,,49.0019308703,,
