"COU","Country","GOV","Level of government","TAX","Tax revenue","VAR","Indicator","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,27.6730016,,
"AUT","Austria","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,42.5619538,,
"BEL","Belgium","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,42.6998914,,
"CAN","Canada","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,33.8077886,,
"CZE","Czech Republic","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,34.7806079,,
"DNK","Denmark","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,46.60267,,
"FIN","Finland","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,42.2508403,,
"FRA","France","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,44.8853499,,
"DEU","Germany","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,38.6167245,,
"GRC","Greece","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,39.4840081,,
"HUN","Hungary","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,36.4647495,,
"ISL","Iceland","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,34.8439243,,
"IRL","Ireland","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,21.9025131,,
"ITA","Italy","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,42.4152636,,
"JPN","Japan","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,31.4124279,,
"KOR","Korea","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,27.3045391,,
"LUX","Luxembourg","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,38.9488374,,
"MEX","Mexico","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,16.3468134,,
"NLD","Netherlands","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,39.2637644,,
"NZL","New Zealand","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,31.4556166,,
"NOR","Norway","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,39.9064814,,
"POL","Poland","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,35.1057627,,
"PRT","Portugal","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,34.5023547,,
"SVK","Slovak Republic","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,34.570662,,
"ESP","Spain","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,34.6820693,,
"SWE","Sweden","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,42.8334885,,
"CHE","Switzerland","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,27.3575789,,
"TUR","Turkey","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,23.1032859,,
"GBR","United Kingdom","NES","Total","TOTALTAX","Total tax revenue","TAXGDP","Tax revenue as % of GDP","2019","2019",,,"0","Units",,,32.7179953,,
