Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
1/1/2021 12:00:00 AM,North Hollywood,31,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 AM,North Hollywood,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 AM,North Hollywood,3,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 AM,North Hollywood,3,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 AM,North Hollywood,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 AM,North Hollywood,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 6:00:00 AM,North Hollywood,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 AM,North Hollywood,9,1-hr,µg/m3,N/A,N/A,
1/1/2021 8:00:00 AM,North Hollywood,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 AM,North Hollywood,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 AM,North Hollywood,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 AM,North Hollywood,-4,1-hr,µg/m3,N/A,N/A,
1/1/2021 12:00:00 PM,North Hollywood,0,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 PM,North Hollywood,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 PM,North Hollywood,5,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 PM,North Hollywood,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 PM,North Hollywood,6,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 PM,North Hollywood,10,1-hr,µg/m3,N/A,N/A,
1/1/2021 6:00:00 PM,North Hollywood,13,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 PM,North Hollywood,18,1-hr,µg/m3,N/A,N/A,
1/1/2021 8:00:00 PM,North Hollywood,19,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 PM,North Hollywood,10,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 PM,North Hollywood,12,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 PM,North Hollywood,19,1-hr,µg/m3,N/A,N/A,
