Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
1/1/2021 12:00:00 AM,Rubidoux Riverside,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 AM,Rubidoux Riverside,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 AM,Rubidoux Riverside,-2,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 AM,Rubidoux Riverside,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 AM,Rubidoux Riverside,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 AM,Rubidoux Riverside,-2,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 AM,Rubidoux Riverside,-2,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 AM,Rubidoux Riverside,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 AM,Rubidoux Riverside,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 AM,Rubidoux Riverside,6,1-hr,µg/m3,N/A,N/A,
1/1/2021 12:00:00 PM,Rubidoux Riverside,3,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 PM,Rubidoux Riverside,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 PM,Rubidoux Riverside,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 PM,Rubidoux Riverside,0,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 PM,Rubidoux Riverside,-2,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 PM,Rubidoux Riverside,-2,1-hr,µg/m3,N/A,N/A,
1/1/2021 6:00:00 PM,Rubidoux Riverside,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 PM,Rubidoux Riverside,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 8:00:00 PM,Rubidoux Riverside,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 PM,Rubidoux Riverside,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 PM,Rubidoux Riverside,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 PM,Rubidoux Riverside,9,1-hr,µg/m3,N/A,N/A,
1/2/2021 12:00:00 AM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/2/2021 1:00:00 AM,Rubidoux Riverside,12,1-hr,µg/m3,N/A,N/A,
1/2/2021 2:00:00 AM,Rubidoux Riverside,9,1-hr,µg/m3,N/A,N/A,
1/2/2021 3:00:00 AM,Rubidoux Riverside,16,1-hr,µg/m3,N/A,N/A,
1/2/2021 4:00:00 AM,Rubidoux Riverside,17,1-hr,µg/m3,N/A,N/A,
1/2/2021 5:00:00 AM,Rubidoux Riverside,21,1-hr,µg/m3,N/A,N/A,
1/2/2021 6:00:00 AM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/2/2021 7:00:00 AM,Rubidoux Riverside,13,1-hr,µg/m3,N/A,N/A,
1/2/2021 8:00:00 AM,Rubidoux Riverside,13,1-hr,µg/m3,N/A,N/A,
1/2/2021 9:00:00 AM,Rubidoux Riverside,10,1-hr,µg/m3,N/A,N/A,
1/2/2021 10:00:00 AM,Rubidoux Riverside,15,1-hr,µg/m3,N/A,N/A,
1/2/2021 11:00:00 AM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/2/2021 12:00:00 PM,Rubidoux Riverside,9,1-hr,µg/m3,N/A,N/A,
1/2/2021 1:00:00 PM,Rubidoux Riverside,9,1-hr,µg/m3,N/A,N/A,
1/2/2021 2:00:00 PM,Rubidoux Riverside,8,1-hr,µg/m3,N/A,N/A,
1/2/2021 3:00:00 PM,Rubidoux Riverside,5,1-hr,µg/m3,N/A,N/A,
1/2/2021 4:00:00 PM,Rubidoux Riverside,7,1-hr,µg/m3,N/A,N/A,
1/2/2021 5:00:00 PM,Rubidoux Riverside,8,1-hr,µg/m3,N/A,N/A,
1/2/2021 6:00:00 PM,Rubidoux Riverside,16,1-hr,µg/m3,N/A,N/A,
1/2/2021 7:00:00 PM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/2/2021 8:00:00 PM,Rubidoux Riverside,10,1-hr,µg/m3,N/A,N/A,
1/2/2021 9:00:00 PM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/2/2021 10:00:00 PM,Rubidoux Riverside,18,1-hr,µg/m3,N/A,N/A,
1/2/2021 11:00:00 PM,Rubidoux Riverside,23,1-hr,µg/m3,N/A,N/A,
1/3/2021 12:00:00 AM,Rubidoux Riverside,27,1-hr,µg/m3,N/A,N/A,
1/3/2021 1:00:00 AM,Rubidoux Riverside,29,1-hr,µg/m3,N/A,N/A,
1/3/2021 2:00:00 AM,Rubidoux Riverside,26,1-hr,µg/m3,N/A,N/A,
1/3/2021 3:00:00 AM,Rubidoux Riverside,30,1-hr,µg/m3,N/A,N/A,
1/3/2021 4:00:00 AM,Rubidoux Riverside,28,1-hr,µg/m3,N/A,N/A,
1/3/2021 5:00:00 AM,Rubidoux Riverside,27,1-hr,µg/m3,N/A,N/A,
1/3/2021 6:00:00 AM,Rubidoux Riverside,21,1-hr,µg/m3,N/A,N/A,
1/3/2021 7:00:00 AM,Rubidoux Riverside,26,1-hr,µg/m3,N/A,N/A,
1/3/2021 8:00:00 AM,Rubidoux Riverside,22,1-hr,µg/m3,N/A,N/A,
1/3/2021 9:00:00 AM,Rubidoux Riverside,22,1-hr,µg/m3,N/A,N/A,
1/3/2021 10:00:00 AM,Rubidoux Riverside,29,1-hr,µg/m3,N/A,N/A,
1/3/2021 11:00:00 AM,Rubidoux Riverside,18,1-hr,µg/m3,N/A,N/A,
1/3/2021 12:00:00 PM,Rubidoux Riverside,16,1-hr,µg/m3,N/A,N/A,
1/3/2021 1:00:00 PM,Rubidoux Riverside,15,1-hr,µg/m3,N/A,N/A,
1/3/2021 2:00:00 PM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/3/2021 3:00:00 PM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/3/2021 4:00:00 PM,Rubidoux Riverside,12,1-hr,µg/m3,N/A,N/A,
1/3/2021 5:00:00 PM,Rubidoux Riverside,16,1-hr,µg/m3,N/A,N/A,
1/3/2021 6:00:00 PM,Rubidoux Riverside,13,1-hr,µg/m3,N/A,N/A,
1/3/2021 7:00:00 PM,Rubidoux Riverside,11,1-hr,µg/m3,N/A,N/A,
1/3/2021 8:00:00 PM,Rubidoux Riverside,10,1-hr,µg/m3,N/A,N/A,
1/3/2021 9:00:00 PM,Rubidoux Riverside,17,1-hr,µg/m3,N/A,N/A,
1/3/2021 10:00:00 PM,Rubidoux Riverside,20,1-hr,µg/m3,N/A,N/A,
