Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
1/1/2021 12:00:00 AM,Temecula,8,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 AM,Temecula,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 AM,Temecula,3,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 AM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 AM,Temecula,5,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 AM,Temecula,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 6:00:00 AM,Temecula,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 AM,Temecula,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 8:00:00 AM,Temecula,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 AM,Temecula,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 AM,Temecula,7,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 AM,Temecula,5,1-hr,µg/m3,N/A,N/A,
1/1/2021 12:00:00 PM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 1:00:00 PM,Temecula,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 2:00:00 PM,Temecula,-1,1-hr,µg/m3,N/A,N/A,
1/1/2021 3:00:00 PM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 4:00:00 PM,Temecula,6,1-hr,µg/m3,N/A,N/A,
1/1/2021 5:00:00 PM,Temecula,4,1-hr,µg/m3,N/A,N/A,
1/1/2021 6:00:00 PM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 7:00:00 PM,Temecula,5,1-hr,µg/m3,N/A,N/A,
1/1/2021 8:00:00 PM,Temecula,6,1-hr,µg/m3,N/A,N/A,
1/1/2021 9:00:00 PM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/1/2021 10:00:00 PM,Temecula,1,1-hr,µg/m3,N/A,N/A,
1/1/2021 11:00:00 PM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/2/2021 12:00:00 AM,Temecula,3,1-hr,µg/m3,N/A,N/A,
1/2/2021 1:00:00 AM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/2/2021 2:00:00 AM,Temecula,1,1-hr,µg/m3,N/A,N/A,
1/2/2021 3:00:00 AM,Temecula,3,1-hr,µg/m3,N/A,N/A,
1/2/2021 4:00:00 AM,Temecula,4,1-hr,µg/m3,N/A,N/A,
1/2/2021 5:00:00 AM,Temecula,5,1-hr,µg/m3,N/A,N/A,
1/2/2021 6:00:00 AM,Temecula,5,1-hr,µg/m3,N/A,N/A,
1/2/2021 7:00:00 AM,Temecula,2,1-hr,µg/m3,N/A,N/A,
1/2/2021 8:00:00 AM,Temecula,4,1-hr,µg/m3,N/A,N/A,
1/2/2021 9:00:00 AM,Temecula,7,1-hr,µg/m3,N/A,N/A,
1/2/2021 10:00:00 AM,Temecula,6,1-hr,µg/m3,N/A,N/A,
