Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/1/2021 12:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 AM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 AM,Reseda,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 AM,Reseda,18,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 AM,Reseda,18,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 12:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 PM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 AM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 AM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 AM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 8:00:00 AM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 9:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 10:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/2/2021 11:00:00 AM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 8:00:00 PM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/2/2021 9:00:00 PM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/2/2021 10:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 11:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 12:00:00 AM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 1:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/3/2021 2:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/3/2021 3:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/3/2021 4:00:00 AM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/3/2021 5:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/3/2021 6:00:00 AM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 7:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/3/2021 8:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/3/2021 9:00:00 AM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 10:00:00 AM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 11:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/3/2021 12:00:00 PM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/3/2021 1:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 2:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 3:00:00 PM,Reseda,5,1-hr,µg/m3,N/A,N/A,
7/3/2021 4:00:00 PM,Reseda,4,1-hr,µg/m3,N/A,N/A,
7/3/2021 5:00:00 PM,Reseda,5,1-hr,µg/m3,N/A,N/A,
7/3/2021 6:00:00 PM,Reseda,1,1-hr,µg/m3,N/A,N/A,
7/3/2021 7:00:00 PM,Reseda,4,1-hr,µg/m3,N/A,N/A,
7/3/2021 8:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/3/2021 9:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 10:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/3/2021 11:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 AM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/4/2021 1:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/4/2021 2:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/4/2021 3:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/4/2021 4:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/4/2021 5:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/4/2021 6:00:00 AM,Reseda,19,1-hr,µg/m3,N/A,N/A,
7/4/2021 7:00:00 AM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/4/2021 8:00:00 AM,Reseda,20,1-hr,µg/m3,N/A,N/A,
7/4/2021 9:00:00 AM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/4/2021 10:00:00 AM,Reseda,16,1-hr,µg/m3,N/A,N/A,
7/4/2021 11:00:00 AM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 PM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/4/2021 1:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
7/4/2021 2:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/4/2021 3:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/4/2021 4:00:00 PM,Reseda,3,1-hr,µg/m3,N/A,N/A,
7/4/2021 5:00:00 PM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/4/2021 6:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/4/2021 7:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/4/2021 8:00:00 PM,Reseda,54,1-hr,µg/m3,N/A,N/A,
7/4/2021 9:00:00 PM,Reseda,57,1-hr,µg/m3,N/A,N/A,
7/4/2021 10:00:00 PM,Reseda,55,1-hr,µg/m3,N/A,N/A,
7/4/2021 11:00:00 PM,Reseda,30,1-hr,µg/m3,N/A,N/A,
7/5/2021 12:00:00 AM,Reseda,55,1-hr,µg/m3,N/A,N/A,
7/5/2021 1:00:00 AM,Reseda,58,1-hr,µg/m3,N/A,N/A,
7/5/2021 2:00:00 AM,Reseda,79,1-hr,µg/m3,N/A,N/A,
7/5/2021 3:00:00 AM,Reseda,69,1-hr,µg/m3,N/A,N/A,
7/5/2021 4:00:00 AM,Reseda,85,1-hr,µg/m3,N/A,N/A,
7/5/2021 5:00:00 AM,Reseda,79,1-hr,µg/m3,N/A,N/A,
7/5/2021 6:00:00 AM,Reseda,43,1-hr,µg/m3,N/A,N/A,
7/5/2021 7:00:00 AM,Reseda,27,1-hr,µg/m3,N/A,N/A,
7/5/2021 8:00:00 AM,Reseda,34,1-hr,µg/m3,N/A,N/A,
7/5/2021 9:00:00 AM,Reseda,31,1-hr,µg/m3,N/A,N/A,
7/5/2021 10:00:00 AM,Reseda,22,1-hr,µg/m3,N/A,N/A,
7/5/2021 11:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/5/2021 12:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/5/2021 1:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/5/2021 2:00:00 PM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/5/2021 3:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/5/2021 4:00:00 PM,Reseda,9,1-hr,µg/m3,N/A,N/A,
7/5/2021 5:00:00 PM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/5/2021 6:00:00 PM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/5/2021 7:00:00 PM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/5/2021 8:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/5/2021 9:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/5/2021 10:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/5/2021 11:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/6/2021 12:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/6/2021 1:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/6/2021 2:00:00 AM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/6/2021 3:00:00 AM,Reseda,5,1-hr,µg/m3,N/A,N/A,
7/6/2021 4:00:00 AM,Reseda,6,1-hr,µg/m3,N/A,N/A,
7/6/2021 5:00:00 AM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/6/2021 6:00:00 AM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/6/2021 7:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/6/2021 8:00:00 AM,Reseda,13,1-hr,µg/m3,N/A,N/A,
7/6/2021 9:00:00 AM,Reseda,15,1-hr,µg/m3,N/A,N/A,
7/6/2021 10:00:00 AM,Reseda,15,1-hr,µg/m3,N/A,N/A,
7/6/2021 11:00:00 AM,Reseda,19,1-hr,µg/m3,N/A,N/A,
7/6/2021 12:00:00 PM,Reseda,14,1-hr,µg/m3,N/A,N/A,
7/6/2021 1:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/6/2021 6:00:00 PM,Reseda,7,1-hr,µg/m3,N/A,N/A,
7/6/2021 7:00:00 PM,Reseda,8,1-hr,µg/m3,N/A,N/A,
7/6/2021 8:00:00 PM,Reseda,10,1-hr,µg/m3,N/A,N/A,
7/6/2021 9:00:00 PM,Reseda,11,1-hr,µg/m3,N/A,N/A,
7/6/2021 10:00:00 PM,Reseda,12,1-hr,µg/m3,N/A,N/A,
