Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/1/2021 12:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 AM,Santa Clarita,-1,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 AM,Santa Clarita,34,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 AM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 AM,Santa Clarita,12,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 AM,Santa Clarita,4,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 AM,Santa Clarita,30,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 AM,Santa Clarita,5,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 AM,Santa Clarita,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 AM,Santa Clarita,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 AM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 12:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 PM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 PM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 PM,Santa Clarita,5,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 PM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 PM,Santa Clarita,2,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 PM,Santa Clarita,3,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 PM,Santa Clarita,15,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 PM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 AM,Santa Clarita,15,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 AM,Santa Clarita,16,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 AM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 AM,Santa Clarita,5,1-hr,µg/m3,N/A,N/A,
7/2/2021 8:00:00 AM,Santa Clarita,6,1-hr,µg/m3,N/A,N/A,
7/2/2021 9:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 10:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/2/2021 11:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 PM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 PM,Santa Clarita,5,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 8:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 9:00:00 PM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 10:00:00 PM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 11:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 12:00:00 AM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/3/2021 1:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 2:00:00 AM,Santa Clarita,6,1-hr,µg/m3,N/A,N/A,
7/3/2021 3:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/3/2021 4:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 5:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 6:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 7:00:00 AM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/3/2021 8:00:00 AM,Santa Clarita,8,1-hr,µg/m3,N/A,N/A,
7/3/2021 9:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 10:00:00 AM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/3/2021 11:00:00 AM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 12:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 1:00:00 PM,Santa Clarita,12,1-hr,µg/m3,N/A,N/A,
7/3/2021 2:00:00 PM,Santa Clarita,12,1-hr,µg/m3,N/A,N/A,
7/3/2021 3:00:00 PM,Santa Clarita,9,1-hr,µg/m3,N/A,N/A,
7/3/2021 4:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 5:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 6:00:00 PM,Santa Clarita,4,1-hr,µg/m3,N/A,N/A,
7/3/2021 7:00:00 PM,Santa Clarita,2,1-hr,µg/m3,N/A,N/A,
7/3/2021 8:00:00 PM,Santa Clarita,5,1-hr,µg/m3,N/A,N/A,
7/3/2021 9:00:00 PM,Santa Clarita,17,1-hr,µg/m3,N/A,N/A,
7/3/2021 10:00:00 PM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/3/2021 11:00:00 PM,Santa Clarita,20,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 AM,Santa Clarita,12,1-hr,µg/m3,N/A,N/A,
7/4/2021 1:00:00 AM,Santa Clarita,15,1-hr,µg/m3,N/A,N/A,
7/4/2021 2:00:00 AM,Santa Clarita,11,1-hr,µg/m3,N/A,N/A,
7/4/2021 3:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/4/2021 4:00:00 AM,Santa Clarita,6,1-hr,µg/m3,N/A,N/A,
7/4/2021 5:00:00 AM,Santa Clarita,4,1-hr,µg/m3,N/A,N/A,
7/4/2021 6:00:00 AM,Santa Clarita,4,1-hr,µg/m3,N/A,N/A,
7/4/2021 7:00:00 AM,Santa Clarita,7,1-hr,µg/m3,N/A,N/A,
7/4/2021 8:00:00 AM,Santa Clarita,10,1-hr,µg/m3,N/A,N/A,
7/4/2021 9:00:00 AM,Santa Clarita,18,1-hr,µg/m3,N/A,N/A,
7/4/2021 10:00:00 AM,Santa Clarita,13,1-hr,µg/m3,N/A,N/A,
7/4/2021 11:00:00 AM,Santa Clarita,16,1-hr,µg/m3,N/A,N/A,
7/4/2021 12:00:00 PM,Santa Clarita,16,1-hr,µg/m3,N/A,N/A,
