Date Time,Site Name,Value,Averaging Period,Units,California State Standard,National Ambient Air Quality Standard by U.S. EPA,
7/1/2021 12:00:00 AM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 AM,Upland,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 AM,Upland,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 AM,Upland,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 AM,Upland,7,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 AM,Upland,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 AM,Upland,9,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 AM,Upland,11,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 AM,Upland,23,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 AM,Upland,19,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 AM,Upland,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 AM,Upland,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 12:00:00 PM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 1:00:00 PM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 2:00:00 PM,Upland,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 3:00:00 PM,Upland,17,1-hr,µg/m3,N/A,N/A,
7/1/2021 4:00:00 PM,Upland,22,1-hr,µg/m3,N/A,N/A,
7/1/2021 5:00:00 PM,Upland,13,1-hr,µg/m3,N/A,N/A,
7/1/2021 6:00:00 PM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/1/2021 7:00:00 PM,Upland,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 8:00:00 PM,Upland,8,1-hr,µg/m3,N/A,N/A,
7/1/2021 9:00:00 PM,Upland,6,1-hr,µg/m3,N/A,N/A,
7/1/2021 10:00:00 PM,Upland,6,1-hr,µg/m3,N/A,N/A,
7/1/2021 11:00:00 PM,Upland,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 AM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 AM,Upland,8,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 AM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 AM,Upland,13,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 AM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 AM,Upland,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 AM,Upland,12,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 AM,Upland,20,1-hr,µg/m3,N/A,N/A,
7/2/2021 8:00:00 AM,Upland,20,1-hr,µg/m3,N/A,N/A,
7/2/2021 9:00:00 AM,Upland,13,1-hr,µg/m3,N/A,N/A,
7/2/2021 10:00:00 AM,Upland,14,1-hr,µg/m3,N/A,N/A,
7/2/2021 11:00:00 AM,Upland,13,1-hr,µg/m3,N/A,N/A,
7/2/2021 12:00:00 PM,Upland,9,1-hr,µg/m3,N/A,N/A,
7/2/2021 1:00:00 PM,Upland,19,1-hr,µg/m3,N/A,N/A,
7/2/2021 2:00:00 PM,Upland,18,1-hr,µg/m3,N/A,N/A,
7/2/2021 3:00:00 PM,Upland,26,1-hr,µg/m3,N/A,N/A,
7/2/2021 4:00:00 PM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 5:00:00 PM,Upland,11,1-hr,µg/m3,N/A,N/A,
7/2/2021 6:00:00 PM,Upland,10,1-hr,µg/m3,N/A,N/A,
7/2/2021 7:00:00 PM,Upland,9,1-hr,µg/m3,N/A,N/A,
